birth_place,discipline,Count
MAISONS-LAFFITTE,Handball,1
"MAITLAND, NSW",Rowing,1
MAKASSAR,Weightlifting,1
ADANA,Taekwondo,1
MAKUENI COUNTY,Athletics,1
ZYKOVY,Cross-Country Skiing,1
"MALIBU, CA",Skateboarding,1
MALSELV,Alpine Skiing,1
MALUNG,Curling,1
"ABBOTSFORD, BC",Rugby Sevens,1
MANCHESTER,Athletics,1
MANCHESTER,Sailing,1
ZARAGOZA,Football,1
ZAVETY ILYICHA,Volleyball,1
MANNHEIM,Hockey,1
"MAPLE RIDGE, BC",Baseball/Softball,1
"MAPLEWOOD, MN",Ice Hockey,1
MAR DEL PLATA,3x3 Basketball,1
MARBELLA,Boxing,1
ZAVOLZHYE,Rhythmic Gymnastics,1
MARILIA,Athletics,1
MARINO,Athletics,1
"MARKHAM, ON",Football,1
ZEIST,Hockey,1
MARSEILLE,Fencing,1
ZELL AM SEE,Alpine Skiing,1
MARTIGUES,Rugby Sevens,1
MARTINEZ,Hockey,1
MARTORELL,Football,1
"MARYBOROUGH, VIC",Basketball,1
"MARYVILLE, IL",Volleyball,1
MASSY,Handball,1
MASSY,Rugby Sevens,1
MASTERTON,Tennis,1
ZHANGZHOU,Sailing,1
MATANZAS,Wrestling,1
MATARO,Water Polo,1
MATLOCK,Rowing,1
ZHEJIANG,Canoe Sprint,1
"MATSUMOTO, NAGANO",Judo,1
MAYKOP,Handball,1
MAZANDARAN,Wrestling,1
MAZATLAN,Boxing,1
ZHENGZHOU,Boxing,1
ZHENGZHOU,Trampoline Gymnastics,1
ZIBO,Artistic Gymnastics,1
MEISSEN,Canoe Slalom,1
ZIBO,Shooting,1
AKUREYRI,Volleyball,1
AL-ISMAILIYAH,Weightlifting,1
"ALANIA, NORTH OSSETIA",Judo,1
"MELBOURNE, VIC",Snowboard,1
"MELBOURNE, VIC",Swimming,1
"ALANIA, REPUBLIC OF NORTH-OSSETIA",Judo,1
ALBI,Boxing,1
MELNIK,Canoe Slalom,1
ALBISOLA SUPERIORE,Volleyball,1
MENDOZA,Rugby Sevens,1
"ALBURY, NSW",Basketball,1
MERAKER,Cross-Country Skiing,1
ALCALA DE HENARES,Taekwondo,1
"MERCED, CA",Baseball/Softball,1
MERIDA,Football,1
ALELLA,Football,1
"MESA, AZ",Football,1
MESAGNE,Taekwondo,1
MESCHDURETSCHENSKI,Cross-Country Skiing,1
"METAIRIE, LA",Shooting,1
METRO,Weightlifting,1
METTEMANN,Rowing,1
METZ,Equestrian,1
"ALEXANDRIA, VA",Athletics,1
ALFORTVILLE,Handball,1
MEZOTUR,Canoe Sprint,1
"MIAMI BEACH, FL",Baseball/Softball,1
"MIAMI, FL",Athletics,1
ALICANTE,Football,1
"MIAMI, FL",Basketball,1
"MIAMI, FL",Water Polo,1
MIAO-LI,Golf,1
MICHALOVCE,Ice Hockey,1
MIDDLESBROUGH,Cycling Track,1
MIE,Artistic Gymnastics,1
MIKI,Badminton,1
ALMATY,Artistic Gymnastics,1
MILAN,Athletics,1
MILAN,Fencing,1
MILAN,Short Track Speed Skating,1
"MILDURA, VIC",Hockey,1
MILLINGEN AAN DE RIJN,Rowing,1
ALMATY,Boxing,1
MINDELHEIM,Alpine Skiing,1
"MINEOLA, NY",Diving,1
MINERALNYE VODY,3x3 Basketball,1
ALMATY,Judo,1
MINSK,Freestyle Skiing,1
MINSK,Ice Hockey,1
MINSK,Rhythmic Gymnastics,1
MINSK,Rowing,1
MIRANO,Cycling Track,1
ALMATY,Weightlifting,1
ALMERE,Sailing,1
ALMUSSAFES,Football,1
"MISSISSAUGA, ON",Football,1
"MISSISSAUGA, ON",Ice Hockey,1
ALTDORF,Cycling Mountain Bike,1
"ALTON, HAMPSHIRE",Equestrian,1
MITROVICA,Judo,1
MIYAZAKI,Skateboarding,1
MJOLBY,Football,1
ALZANO LOMBARDO,Snowboard,1
MOCACHE,Wrestling,1
MODENA,Artistic Gymnastics,1
AMBALA,Shooting,1
"AMHERST, MA",Diving,1
"AMHERST, NY",Artistic Swimming,1
MOGILEV,Trampoline Gymnastics,1
MONACO,Rugby Sevens,1
MONASTIR,Taekwondo,1
AMSTELVEEN,Hockey,1
MONCALIERI,Volleyball,1
MONCHEGORSK,Freestyle Skiing,1
MONCHENGLADBACH,Hockey,1
MONCHENGLADBACH,Rowing,1
MONT-SAINT-MARTIN,Handball,1
MONT-SAINT-MARTIN,Karate,1
MONTAGU,Rugby Sevens,1
MONTBRISON,Figure Skating,1
MONTEGO BAY,Athletics,1
MONTEGO BAY,Rowing,1
MONTERREY,Diving,1
"MONTGOMERY, AL",Baseball/Softball,1
MONTIGNY-L?S-METZ,Football,1
AMSTELVEEN,Rowing,1
AMSTERDAM,3x3 Basketball,1
MONTPELLIER,Volleyball,1
"MONTREAL, QC",Athletics,1
AMSTERDAM,Athletics,1
"MONTREAL, QC",Judo,1
"MONTREAL, QC",Rowing,1
ANCONA,Fencing,1
ANCONA,Rhythmic Gymnastics,1
"MONTREAL, QC",Tennis,1
ANDIJAN,Boxing,1
MORLAIX,Fencing,1
MORON,Volleyball,1
MORPETH,Cycling Track,1
"MORRISTOWN, NJ",Football,1
"ANDOVER, MI",Ice Hockey,1
MORTEAU,Handball,1
MORTSEL,Judo,1
MORUNGABA,Football,1
MOSCOW,3x3 Basketball,1
ANGARSK,Ice Hockey,1
MOSCOW,Athletics,1
MOSCOW,Beach Volleyball,1
ANGERS,Equestrian,1
ANGERS,Football,1
ANHUI,Swimming,1
ANKARA,Boxing,1
ANKARA,Shooting,1
MOSCOW,Rowing,1
MOSCOW,Short Track Speed Skating,1
MOSCOW,Speed Skating,1
"ANN ARBOR, MI",Figure Skating,1
ANNABERG-BUCHHOLZ,Nordic Combined,1
MOSCOW,Volleyball,1
MOSCOW,Water Polo,1
MOSHAV AVIHAYIL,Sailing,1
MOTTOLA,Athletics,1
"MOUNT BARKER, SA",Basketball,1
MOUNT ELGON,Athletics,1
ANNECY,Alpine Skiing,1
"MOUNT LAWLEY, WA",Swimming,1
ANNECY,Cross-Country Skiing,1
ANNEMASSE,Rowing,1
MTHATA,Rugby Sevens,1
MTSKHETA,Wrestling,1
MUEHLDORF AM INN,Bobsleigh,1
"ANREN TOWN, LONGQUAN CITY",Swimming,1
MUHLDORF AM INN,Athletics,1
MUHLHAUSEN,Athletics,1
MUHLHEIM,Rowing,1
MULHEIM AN DER RUHR,Hockey,1
MULHOUSE,Equestrian,1
ANSHAN,Badminton,1
ANTRIM,Artistic Gymnastics,1
MUNAKATA,Fencing,1
"MUNDELEIN, IL",Athletics,1
ANYANG,Judo,1
MUNICH,Biathlon,1
MUNICH,Judo,1
AOSTA,Cross-Country Skiing,1
MUNICH,Sailing,1
MUNICH,Volleyball,1
MURAKAMI,Snowboard,1
MURCIA,Football,1
APELDOORN,Rowing,1
MUROM,Cross-Country Skiing,1
MURUN CITY,Judo,1
MUURAME,Ice Hockey,1
APT,Handball,1
MYOKO,Snowboard,1
MYSA,Ski Jumping,1
MYTILENE,Rowing,1
MÃ“STOLES,Judo,1
"NA'ALEHU, HI",Bobsleigh,1
NACKA,Sailing,1
NAGANO,Baseball/Softball,1
NAGAOKAKYO,Athletics,1
ARACAJ?,Beach Volleyball,1
NAGOYA,Equestrian,1
"ARBUTUS, MD",Volleyball,1
NAITASIRI,Rugby Sevens,1
NAKAGAWA,Baseball/Softball,1
ARGENTEUIL,Athletics,1
"NANAIMO, BC",Athletics,1
NANAO,Basketball,1
"NANCHANG, JIANGXI",Swimming,1
NANCY,Archery,1
"ARKHILOSKALO, GUDAMAKARI",Judo,1
NANJING,Wrestling,1
NANTONG,Artistic Gymnastics,1
"NAPERVILLE, IL",Football,1
"NAPERVILLE, IL",Volleyball,1
"ARLINGTON HEIGHTS, IL",Ice Hockey,1
NAPIER,Rugby Sevens,1
NAPLES,Fencing,1
ARNEDO,Football,1
NAQARAWAI,Rugby Sevens,1
ARNHEM,Athletics,1
NARITA,Boxing,1
NARVA,Ice Hockey,1
ARNHEM,Rowing,1
ARNSBERG,Skeleton,1
ASAHIKAWA,Athletics,1
NASINU,Rugby Sevens,1
ASAHIKAWA,Basketball,1
"NATICK, MA",Rugby Sevens,1
NAUSORI,Rugby Sevens,1
NAVUNIMONO,Rugby Sevens,1
NAXCIVAN,Wrestling,1
NELSON,Cycling Track,1
NESTEROVSKAYA,Wrestling,1
ASAHIKAWA,Curling,1
NETISHYN,Fencing,1
NEU-ULM,Baseball/Softball,1
NEUENKIRCH,Rowing,1
NEUILLY-SUR-SEINE,Football,1
NEUNKIRCHEN,Judo,1
NEUSTADT AN DER WEINSTRA?E,Triathlon,1
NEVSEHIR,Boxing,1
ASAKA,Basketball,1
"NEW GLASGOW, NS",Ice Hockey,1
"NEW LENOX, IL",Water Polo,1
ASCOT,Canoe Slalom,1
"ASHBURN, VA",Football,1
NEW TAIPEI,Boxing,1
"NEW TECUMSETH, ON",Football,1
"NEW WESTMINSTER, BC",Rowing,1
"NEW WESTMINSTER, BC",Rugby Sevens,1
"NEW YORK CITY, NY",Football,1
"ASHBURN, VA",Freestyle Skiing,1
ASHGABAT,Weightlifting,1
ASHTON-UNDER-LYNE,Diving,1
"ASPEN, CO",Freestyle Skiing,1
"NEWARK, DE",Swimming,1
ASSEN,Cycling Track,1
ASTANA,Boxing,1
NEWCASTLE,Cycling BMX Freestyle,1
NEWCASTLE-UNDER-LYME,Cycling Track,1
ATHENS,Athletics,1
"NEWMARKET, ON",Ice Hockey,1
"NEWPORT BEACH, CA",Football,1
"NEWPORT BEACH, CA",Freestyle Skiing,1
ATHENS,Swimming,1
NICE,Alpine Skiing,1
NICE,Football,1
"ATLANTA, GA",Basketball,1
NIKSIC,Volleyball,1
"ATLANTA, GA",Swimming,1
"ATSBI WENBERTA, TIGRAY",Athletics,1
NIORT,Handball,1
ATTARI,Hockey,1
NIS,Handball,1
AUBENAS,Handball,1
NITEROI,Sailing,1
NITILSUKH,Boxing,1
AUBERGENVILLE,Rowing,1
NITRA,Shooting,1
NIVALA,Ice Hockey,1
NIVELLES,Hockey,1
AUCH,Rugby Sevens,1
NIZHNEKAMSK,Ice Hockey,1
NIZHNEVARTOVSK,Volleyball,1
NIZHNY NOVGOROD,Speed Skating,1
"NORTH CHARLESTON, SC",Basketball,1
"NORTH READING, MA",Ice Hockey,1
"NORTH VANCOUVER, BC",Freestyle Skiing,1
"NORTH YORK, ON",Rowing,1
NORTHAMPTON,Rowing,1
"NORTHBROOK, IL",Ice Hockey,1
"AUCHENFLOWER, QLD",Swimming,1
AUCKLAND,Athletics,1
NOUMEA,Swimming,1
AUCKLAND,Curling,1
NOVA VENECIA,Football,1
NOVE MESTO NA MORAVE,Speed Skating,1
NOVI SAD,3x3 Basketball,1
NOVI SAD,Basketball,1
AUCKLAND,Tennis,1
NOVOKUYBYSHEVSK,Volleyball,1
AUGSBERG,Canoe Slalom,1
AUGSBURG,Canoe Slalom,1
NOWY S?CZ,Volleyball,1
NOWY SACZ,Canoe Slalom,1
NOWY TARG,Ski Jumping,1
NUKUILAU,Rugby Sevens,1
AURAY,Rugby Sevens,1
NUREMBURG,Hockey,1
NURTINGEN,Judo,1
"NYACK, NY",Baseball/Softball,1
NYKOPING,Equestrian,1
NYKOPING,Sailing,1
NYMBURK,Canoe Sprint,1
"O'FALLON, MO",Ice Hockey,1
"OAK LAWN, IL",Ice Hockey,1
"OAK PARK, IL",Speed Skating,1
"OAKLAND, CA",Basketball,1
OBERAUDORF,Ski Jumping,1
OBERSTDORF,Alpine Skiing,1
"AURORA, CO",Volleyball,1
AVESTA,Football,1
OBNINSK,Swimming,1
"OBWARI VILLAGE, KISII",Athletics,1
AVIGNON,Rugby Sevens,1
"OCEANSIDE, CA",Athletics,1
AVILES,Handball,1
"OCEANSIDE, CA",Volleyball,1
OCHO RIOS,Athletics,1
OCHSENFURT,Bobsleigh,1
AVOLA,Karate,1
AYLESBURY,Cycling Track,1
BA BA,Rugby Sevens,1
ODESSA,Tennis,1
ODINTSOVO,Wrestling,1
OESTERSUND,Biathlon,1
OFFENBACH AM MAIN,Triathlon,1
OH,Athletics,1
BABAEVO,Biathlon,1
OITA,Fencing,1
BABAYURT,Boxing,1
BABRUYSK,Wrestling,1
OKINAWA,Karate,1
OKINAWA,Wrestling,1
OLDENBURG,Football,1
OLDENBURG,Sailing,1
OLIVARES,Football,1
OLOMOUC,Fencing,1
OLOVO,Volleyball,1
OMSK,Ice Hockey,1
BACKNANG,Judo,1
OMSK,Swimming,1
ON,Rowing,1
ONITSHA,Athletics,1
ONSALA,Sailing,1
OOSTERHOUT,Hockey,1
ORANGE,Football,1
BAD AIBLING,Bobsleigh,1
ORISTANO,Athletics,1
BAD HONNEF,Football,1
ORISTANO,Volleyball,1
"ORLANDO, FL",Athletics,1
"ORLANDO, FL",Breaking,1
ORNSKOLDSVIK,Football,1
ORYOL,Ice Hockey,1
ORZINUOVI,Artistic Gymnastics,1
BAD NEUENAHR-AHRWEILER,Canoe Slalom,1
OSAKA,Judo,1
OSAKA,Karate,1
OSAKA,Skateboarding,1
OSAKA,Swimming,1
OSAKA,Wrestling,1
OSASCO,Boxing,1
OSASCO,Football,1
OSH,Boxing,1
"OSHAWA, ON",Bobsleigh,1
"OSHAWA, ON",Football,1
OSIJEK,Tennis,1
OSKEMEN,Fencing,1
"OSKOSH, WI",Basketball,1
OSLO,Alpine Skiing,1
BAD REICHENHALL,Ski Jumping,1
BAD SODEN AM TAUNUS,Equestrian,1
BAD SODEN AM TAUNUS,Football,1
BADALONA,Football,1
BAENA,Shooting,1
OSLO,Sailing,1
OSTERCAPPELN,Rowing,1
OSTERSUND,Freestyle Skiing,1
OSTERSUND,Sailing,1
OSTRAVA,Athletics,1
OSTROLEKA,Volleyball,1
BAERUM,Freestyle Skiing,1
"OTTAWA, ON",Tennis,1
OUDERKERK AAN DE AMSTEL,Rowing,1
BAERUMS,Nordic Combined,1
BAHIA BLANCA,Hockey,1
OXFORD,Canoe Sprint,1
PADUA,Rowing,1
PAGET,Triathlon,1
BAHIA BLANCA,Rugby Sevens,1
PALERMO,Volleyball,1
PALMA DE MALLORCA,Football,1
PALMERSTON NORTH,Cycling Track,1
PALMERSTON NORTH,Rugby Sevens,1
BALA-SARUU,Wrestling,1
PAMPLONA,Football,1
PAMPLONA,Handball,1
PANAMA CITY,Boxing,1
"PANAMA CITY, FL",Swimming,1
PANCEVO,Water Polo,1
BALIKESIR,Wrestling,1
"PANORAMA CITY, CA",Volleyball,1
"BALTIMORE, MD",Swimming,1
PARAIBA,Taekwondo,1
PARAMARIBO,3x3 Basketball,1
PARIS,Athletics,1
"BALTIMORE, MD",Wrestling,1
BANDAR SERI BEGAWAN,Swimming,1
PARIS,Football,1
BANDUNG,Weightlifting,1
BANI,Baseball/Softball,1
BANJUL,Beach Volleyball,1
PARIS,Shooting,1
BAODING,Boxing,1
PARIS,Weightlifting,1
"PARK RIDGE, IL",Triathlon,1
PARKANO,Ice Hockey,1
"PARKER, CO",Basketball,1
PASCANI,Rowing,1
PATRAS,Water Polo,1
"BAODING, HEBEI",Swimming,1
PAU,Handball,1
BARAHONA,Athletics,1
BARNAUL,Rhythmic Gymnastics,1
"PEEBLES, SCOTLAND",Equestrian,1
PEJA,Judo,1
"PELHAM, NH",Ice Hockey,1
"PEMBROKE PINES, FL",Athletics,1
PEMBURY,Rowing,1
PENGLAI,Athletics,1
BARNET,Equestrian,1
"BAROSSA VALLEY, SA",Basketball,1
PENZA,Ice Hockey,1
PERASEINAJOKI,Ice Hockey,1
PERCHTOLDSDORF,Sailing,1
PEREIRA,Athletics,1
PERM,Ski Jumping,1
PERPIGNAN,Handball,1
PERPIGNAN,Rugby Sevens,1
BARRA BONITA,Football,1
PERTH,Sailing,1
"PERTH, WA",Basketball,1
"PERTH, WA",Cycling Track,1
"PERTH, WA",Hockey,1
"PERTH, WA",Surfing,1
BARRA DO CORDA,Volleyball,1
BASILDON,Artistic Gymnastics,1
PERTUIS,Fencing,1
PERVOMAISKY,Freestyle Skiing,1
PESOCHNOE,Biathlon,1
PETERBOROUGH,Artistic Gymnastics,1
PETERSFIELD,Cycling Track,1
PETRER,Handball,1
PETRICH,Wrestling,1
BASSAN,Cycling BMX Freestyle,1
PETROZAVODSK,Rhythmic Gymnastics,1
PETROZAVODSK,Taekwondo,1
"PHILADELPHIA, PA",Athletics,1
"PHILADELPHIA, PA",Basketball,1
"PHILADELPHIA, PA",Bobsleigh,1
"PHILADELPHIA, PA",Rugby Sevens,1
BASSE-TERRE,Volleyball,1
"PHOENIX, AZ",Figure Skating,1
PIANO DI SORRENTO,Volleyball,1
"PICKERING, ON",Football,1
PIEST'ANY,Water Polo,1
PIETERSAARI,Ice Hockey,1
PIEVE DI CADORE,Curling,1
PINAR DEL RIO,Boxing,1
BASSECOURT,Equestrian,1
BATAISK,Judo,1
PISA,Fencing,1
"PITTSBURGH, PA",Baseball/Softball,1
"PITTSBURGH, PA",Rowing,1
"PITTSBURGH, PA",Short Track Speed Skating,1
BAURU,Football,1
"PLACENTIA, CA",Baseball/Softball,1
"PLANO, TX",Artistic Gymnastics,1
"PLANTATION, FL",Diving,1
"PLEASANTON, CA",Baseball/Softball,1
BAYAGUANA,Athletics,1
POCHEON,Judo,1
PODOLSK,Figure Skating,1
BAYAGUANA,Weightlifting,1
"POINT PLEASANT, NJ",Baseball/Softball,1
POINTE-A-PITRE,Fencing,1
BAZA,Cycling Mountain Bike,1
BAZHOU,Artistic Swimming,1
BEASAIN,Football,1
"BEAUFORT, SC",Rugby Sevens,1
PONGOLA,Rugby Sevens,1
PONTA GROSSA,Football,1
PONTA GROSSA,Volleyball,1
PONTE SAN PIETRO,Artistic Gymnastics,1
BEAUNE,Handball,1
PONTEDERA,Cycling Track,1
"BEAVERLODGE, AB",Curling,1
PONTIANAK,Sport Climbing,1
PONTOISE,Rugby Sevens,1
POOLE,Sailing,1
POPRAD,Ice Hockey,1
PORDENONE,Weightlifting,1
PORDERNONE,Cycling Track,1
PORI,Ice Hockey,1
PORI,Swimming,1
BEDFORD,Cycling Track,1
POROPRO,Rugby Sevens,1
PORSGRUNN,Handball,1
BEHSHAHR,Wrestling,1
PORT MORANT,Athletics,1
BEIJING,Archery,1
"PORTLAND, OR",Basketball,1
BEIJING,Artistic Swimming,1
BEIJING,Badminton,1
PORTO ALEGRE,Surfing,1
PORTO ALEGRE,Volleyball,1
PORTO NOVO,Athletics,1
PORTSMOUTH,Cycling BMX Freestyle,1
"PORTSMOUTH, NH",Freestyle Skiing,1
POSIO,Ice Hockey,1
POTSDAM,Figure Skating,1
POTSDAM,Triathlon,1
"POWAY, CA",3x3 Basketball,1
"POWAY, CA",Basketball,1
POZEGA,Handball,1
PRAGUE,Athletics,1
PRAGUE,Canoe Sprint,1
PRAGUE,Fencing,1
PRAGUE,Snowboard,1
PRESIDENTE PRUDENTE,Football,1
PRESTON,Athletics,1
PRIBOJ,Basketball,1
BEIJING,Diving,1
"PRINCETON, IN",Basketball,1
PRISTINA,Volleyball,1
PROKHLADNY,Athletics,1
PROKOPYEVSK,Ice Hockey,1
PURMEREND,Water Polo,1
PUSIR GRANDE,Weightlifting,1
BEIJING,Trampoline Gymnastics,1
PYATIGORSK,Volleyball,1
QAZVIN,Taekwondo,1
BELCHATOW,Judo,1
QIQIHAR,Table Tennis,1
BELFAST,Rowing,1
QLD,Canoe Sprint,1
BELFAST,Swimming,1
"QUEBEC CITY, QC",Freestyle Skiing,1
"QUEBEC CITY, QC",Ice Hockey,1
"QUEBEC, QC",Football,1
BELFORD ROXO,Football,1
QUZHOU,Badminton,1
BELGRADE,Shooting,1
BELGRADE,Taekwondo,1
RACIBORZ,Wrestling,1
BELGRADE,Tennis,1
RAMAT GAN,Sailing,1
RAMOS ARIZPE,Archery,1
"RANCHO SANTA FE, CA",Tennis,1
BELLEY,Biathlon,1
RASEINIAI,3x3 Basketball,1
RAUMA,Ice Hockey,1
RAVITAKI,Rugby Sevens,1
RAWICZ,Athletics,1
RECIFE,Football,1
"RED DEER, AB",Swimming,1
"BELLFLOWER, CA",Baseball/Softball,1
"REDDING, CA",Football,1
"REDONDO BEACH, CA",Figure Skating,1
"REDONDO BEACH, CA",Triathlon,1
"REGINA, SK",Bobsleigh,1
"REGINA, SK",Snowboard,1
REIMS,3x3 Basketball,1
REIMS,Basketball,1
REIMS,Cycling Mountain Bike,1
REMIREMONT,Alpine Skiing,1
RENDSBURG,Archery,1
BELLHEIM,Athletics,1
BELO HORIZONTE,Football,1
BEMMEL,Rowing,1
"RENO, NV",Cycling BMX Freestyle,1
"RENO, NV",Freestyle Skiing,1
"RENO, NV",Rugby Sevens,1
BENDER,Fencing,1
"RENTON, WA",Basketball,1
RHEINFELDEN,Shooting,1
RHO,Rhythmic Gymnastics,1
RIACHO DE SANTANA,Football,1
RIBEIRA,Athletics,1
"BENDIGO, VIC",Swimming,1
BENI MELLAL,Football,1
"RIDGEWOOD, NJ",Golf,1
RIGA,Luge,1
RIIHIMAKI,Ice Hockey,1
RIJEKA,Water Polo,1
BENSHEIM,Handball,1
BENSHEIM,Table Tennis,1
RINGE,Handball,1
BENTIVOGLIO,Rhythmic Gymnastics,1
RIO CASCA,Football,1
BEPPU,Fencing,1
BERDSK,Biathlon,1
RIO DE JANEIRO,Judo,1
BEREZNIKI,3x3 Basketball,1
RIO PIEDRAS,Baseball/Softball,1
BERGAMO,Alpine Skiing,1
RISHON LEZION,Rhythmic Gymnastics,1
"RIVERDALE, NJ",Fencing,1
"RIVERSIDE, IL",Volleyball,1
BERGEN,Alpine Skiing,1
BERGEN,Triathlon,1
"ROADE, NORTHAMPTONSHIRE",Equestrian,1
ROANNE,3x3 Basketball,1
"ROCHESTER, NY",Freestyle Skiing,1
ROCKANJE,Sailing,1
BERGERAC,Rugby Sevens,1
RODEZ,Basketball,1
RODOVRE,Ice Hockey,1
BERGH,Sailing,1
BERKEL-ENSCHOT,Hockey,1
ROME,Judo,1
"BERKELEY, CA",Water Polo,1
BERLIN,Beach Volleyball,1
ROME,Swimming,1
RONDONOPOLIS,Football,1
BERLIN,Bobsleigh,1
ROQUETAS DE MAR,Football,1
BERLIN,Handball,1
ROSARIO,Volleyball,1
ROSEAU,Athletics,1
BERLIN,Sailing,1
"ROSEVILLE, CA",Baseball/Softball,1
BERLIN,Swimming,1
ROSTOV-NA-DONU,Artistic Swimming,1
ROSTOV-NA-DONU,Handball,1
ROTENBURG,3x3 Basketball,1
ROTORUA,Athletics,1
ROTORUA,Rugby Sevens,1
ROTTERDAM,Athletics,1
ROTTERDAM,Boxing,1
BERLIN,Triathlon,1
BERN,Beach Volleyball,1
BERN,Cycling Mountain Bike,1
BEROUN,Tennis,1
BESANCON,Archery,1
BESANCON,Handball,1
BESANCON,Judo,1
RUDAKI,Judo,1
RUDERSDAL,Handball,1
RUDESHEIM AM RHEIN,Handball,1
RUEIL-MALMAISON,Equestrian,1
BETANZOS,Canoe Sprint,1
RUMST,Cycling Road,1
RUSTAVI,Boxing,1
RUSTENBURG,Rugby Sevens,1
RUZAYEVKA,Wrestling,1
RYAZAN,Figure Skating,1
S?O JOS? DOS CAMPOS - SAO PAULO,Judo,1
SAARBRUCKEN,Cycling Track,1
BETSUKAI,Speed Skating,1
SABADELL,Snowboard,1
BEZIERS,Basketball,1
BEZIERS,Cycling Mountain Bike,1
"SACRAMENTO, CA",Baseball/Softball,1
SAGAMIHARA,Artistic Gymnastics,1
SAGAMIHARA,Judo,1
"SAGINAW, MI",Basketball,1
SAINT DENIS,Volleyball,1
BIALYSTOK,Athletics,1
BICESTER,Swimming,1
SAINT-BENOIT-LA-FORET,Artistic Gymnastics,1
SAINT-BRIEUC,Handball,1
"SAINT-CLAUDE, GUADELOUPE",Handball,1
SAINT-CLOUD,Basketball,1
SAINT-DIZIER,Judo,1
SAINT-GERMAIN-EN-LAYE,Fencing,1
SAINT-GERMAN-EN-LAYE,Fencing,1
SAINT-LAURENT-DU-MARONI (FRENCH GUIANA),Breaking,1
SAINT-MALO,Canoe Slalom,1
BIELEFELD,Cycling Track,1
SAINT-PRIEST-EN-JAREZ,Modern Pentathlon,1
BIELEFELD,Handball,1
BILBAO,3x3 Basketball,1
SAINT-RENAN,Handball,1
BIRKENHEAD,Swimming,1
BIRMINGHAM,Boxing,1
BISHKEK,Volleyball,1
SAINTES,Cycling BMX Racing,1
SAITAMA,Wrestling,1
"SALINA, KS",Football,1
SALLANCHES,Cross-Country Skiing,1
SALLENT DE LLOBREGAT,Football,1
SALSK,Rowing,1
BIYSK,Volleyball,1
"SALT LAKE CITY, UT",Rugby Sevens,1
SALTA,Hockey,1
BIZEN,Baseball/Softball,1
SALVADOR,Marathon Swimming,1
SALZBURG,Ski Jumping,1
BJELOVAR,Shooting,1
SAMARA,Handball,1
SAMARA,Tennis,1
SAMARKAND,Judo,1
BLACHOWNIA,Volleyball,1
BLACKWOOD,Taekwondo,1
SAN CRISTOBAL,Baseball/Softball,1
BLARICUM,Rowing,1
BOBLINGEN,Wrestling,1
"SAN DIEGO, CA",Baseball/Softball,1
"SAN DIEGO, CA",Golf,1
"SAN DIEGO, CA",Rugby Sevens,1
"BOCA RATON, FL",Surfing,1
"SAN DIEGO, CA",Water Polo,1
"SAN DIEGO, CA",Weightlifting,1
"SAN DIMAS, CA",Football,1
SAN FELIPE DE PUERTO PLATA,Baseball/Softball,1
SAN FERNANDO,Hockey,1
"SAN FRANCISCO, CA",Baseball/Softball,1
BOCHOLT,Football,1
BODEGRAVEN,Swimming,1
SAN GIOVANNI IN PERSICETO,Volleyball,1
"SAN JOSE, CA",Figure Skating,1
"SAN JOSE, CA",Football,1
BOJNICE,Canoe Sprint,1
SAN JUAN DE LA MAGUANA,Athletics,1
SAN JUAN Y MARTINEZ,Boxing,1
SAN MIGUEL,Shooting,1
BOLLNAS,Freestyle Skiing,1
SAN MINIATO,Volleyball,1
