birth_place,discipline,Count
SAN NICOLAS DE LOS GARZA,Football,1
SAN PEDRO,Sailing,1
SAN PEDRO DE MACORIS,Baseball/Softball,1
SAN PEDRO DE MACORIS,Weightlifting,1
"SAN RAMON, CA",Athletics,1
"SAN RAMON, CA",Water Polo,1
SAN SEBASTIAN,Canoe Slalom,1
SAN SEBASTIAN,Football,1
BOLOGNA,Shooting,1
SANDVIKEN,Alpine Skiing,1
"SANDY, UT",Swimming,1
SANKT GALLEN,Cycling Mountain Bike,1
SANKT VEIT,Rowing,1
SANT QUIRZE DEL VALLES,Handball,1
"SANTA BARBARA, CA",Water Polo,1
SANTA CLARA,Wrestling,1
"SANTA CLARITA, CA",Volleyball,1
SANTA CRUZ,Boxing,1
SANTA CRUZ,Cycling BMX Freestyle,1
"SANTA CRUZ, CA",Baseball/Softball,1
"SANTA CRUZ, CA",Swimming,1
SANTA FE,Volleyball,1
"SANTA MONICA, CA",Surfing,1
SANTA PERPETUA DE MOGODA,Football,1
BOLOGNA,Tennis,1
BONAO,Baseball/Softball,1
BONDY,Judo,1
SANTIAGO DE CUBA,Taekwondo,1
SANTIAGO DE CUBA,Volleyball,1
SANTIAGO DE LOS CABALLEROS,Baseball/Softball,1
BONHEIDEN,Hockey,1
SANTO DOMINGO,Artistic Gymnastics,1
BONN,Canoe Sprint,1
SANTO DOMINGO,Boxing,1
SAO GONCALO DO AMARANTE,Football,1
SAO JOAQUIM DA BARRA,Athletics,1
SAO JOSE DO RIO PRETO,Volleyball,1
SAO PAULO,Artistic Gymnastics,1
BONN,Rowing,1
SAO PAULO,Sailing,1
SAO PAULO,Tennis,1
SAO PAULO,Volleyball,1
SAO SEBASTIAO,Surfing,1
BORDEAUX,Sailing,1
SAPPORO,Basketball,1
"SARASOTA, FL",Rowing,1
"SARASOTA, FL",Swimming,1
BORGERHOUT,Football,1
SARIOSIYO,Boxing,1
SARYAGHASH,Karate,1
SASEBO,Baseball/Softball,1
"SASKATOON, SK",Baseball/Softball,1
"SASKATOON, SK",Ice Hockey,1
SAULIEU,Equestrian,1
"SAULT STE. MARIE, MI",Ice Hockey,1
SAUNAMARA,Hockey,1
SAVUSAVU,Rugby Sevens,1
SAYLYK,Weightlifting,1
BOUAKE,Taekwondo,1
"BOULDER, CO",Sport Climbing,1
"SCARBOROUGH, ON",Ice Hockey,1
BOULOGNE-BILLANCOURT,Fencing,1
"SCARBOROUGH, ONTARIO",Swimming,1
SCHANGNAU,Alpine Skiing,1
SCHARDING,Athletics,1
SCHIJNDEL,Hockey,1
SCHLADMING,Cross-Country Skiing,1
BOURG-LE-REINE,Basketball,1
SCHMALKALDEN,Biathlon,1
SCHWABISCH GMUND,Handball,1
"SCHWALEFELD, WILLINGEN",Ski Jumping,1
SCHWARZACH,Alpine Skiing,1
SCHWARZACH,Ski Jumping,1
SCHWERIN,Rowing,1
SCHWYZ,Alpine Skiing,1
"SCOTTSDALE, AZ",Basketball,1
BOURG-SAINT-MAURICE,Freestyle Skiing,1
"SEAL BEACH, CA",Water Polo,1
"SEATTLE, WA",Canoe Sprint,1
SELKIRK,Hockey,1
SENDAI,Skateboarding,1
BOURG-SAINT-MAURICE,Snowboard,1
SEOUL,Archery,1
SEOUL,Artistic Swimming,1
SEOUL,Badminton,1
SEOUL,Fencing,1
"BRADENTON, FL",Golf,1
BRADFORD,Athletics,1
SEOUL,Modern Pentathlon,1
SEOUL,Shooting,1
BRADFORD,Boxing,1
SEOUL,Speed Skating,1
SERANG,Weightlifting,1
SERGIEV POSAD,Biathlon,1
"BRANDON, MB",Cycling Track,1
SEVILLE,Football,1
SEVRAN,Football,1
BRAS?LIA,Judo,1
SEVRES,Football,1
SHANDONG,Canoe Sprint,1
SHANDONG,Judo,1
SHANDONG,Rowing,1
SHANDONG,Shooting,1
SHANDONG,Swimming,1
SHANDONG,Wrestling,1
BRASILIA,Judo,1
SHANGHAI,Athletics,1
SHANGHAI,Cycling Track,1
BRASILIA,Volleyball,1
SHANGHAI,Rowing,1
BRATISLAVA,Canoe Slalom,1
SHANGHAI,Tennis,1
BRCKO,Volleyball,1
SHANXI PROVINCE,Shooting,1
"BREA, CA",Baseball/Softball,1
BREGENZ,Sailing,1
SHEFFIELD,Athletics,1
"SHELBURNE, VT",Freestyle Skiing,1
SHELL,Weightlifting,1
BREMEN,Marathon Swimming,1
SHENZHEN,Rowing,1
SHENZHEN,Swimming,1
"SHERBROOKE, QC",Freestyle Skiing,1
BREMEN,Sailing,1
SHIJIAZHUANG,Athletics,1
SHIJIAZHUANG,Boxing,1
BREMEN,Swimming,1
SHIMONOSEKI,Judo,1
SHIMOTSUKE,Judo,1
SHIROI,Weightlifting,1
SHIYAN,Tennis,1
SHIZUOKA,Baseball/Softball,1
BRESCIA,Artistic Gymnastics,1
SHNAGHAI,Shooting,1
SHOPOKOV,Handball,1
SHYMKENT,Karate,1
SICHUAN,Artistic Swimming,1
SICHUAN,Diving,1
SICHUAN,Rhythmic Gymnastics,1
SIDENSJO,Curling,1
"SIDI BELYOUT, CASABLANCA",Football,1
SIEMIANOWICE SLASKIE,Athletics,1
BRESCIA,Canoe Slalom,1
BRESCIA,Judo,1
SILALE,3x3 Basketball,1
SIMFEROPOL,Boxing,1
SINSHEIM,Football,1
SINT-TRUIDEN,Artistic Gymnastics,1
BRESCIA,Volleyball,1
SJOBO,Shooting,1
SKALICA,Ice Hockey,1
SKANDERBORG,Handball,1
SKARZYSKO-KAMIENNA,Cycling Track,1
BRESSANONE,Alpine Skiing,1
BRESSANONE/BRIXEN,Luge,1
BREST,Basketball,1
BREST,Cycling Road,1
SLAGELSE,Cycling Track,1
SLOUGH,Hockey,1
SLOVENJ GRADEC,Snowboard,1
BREST,Sailing,1
BRIANCON,Cross-Country Skiing,1
SOBRADINHO,Athletics,1
SODERKOPING,Equestrian,1
SOERUM,Ski Jumping,1
"BRIDGEWATER, NJ",Football,1
SOISY-SOUS-MONTMORENCY,Judo,1
SOJA,Baseball/Softball,1
SOKOLOV,Tennis,1
"BRISBANE, QLD",Cycling BMX Freestyle,1
SOLLEFTEA,Cross-Country Skiing,1
SOLLENTUNA,Table Tennis,1
SOLNA,Athletics,1
SOLVESBORG,Football,1
SOMBOR,Basketball,1
"BRISBANE, QLD",Skeleton,1
SONDERBORG,Equestrian,1
BRISTOL,Hockey,1
BRNO,Fencing,1
SONIPAT,Wrestling,1
SOROCABA,Football,1
SOROCABA,Volleyball,1
BRNO,Tennis,1
"SOUTH BEND, IN",Basketball,1
"SOUTH BEND, IN",Cycling BMX Freestyle,1
"BROOKFIELD, WI",Athletics,1
"BROWNSBURG, IN",Cycling Road,1
SOUTH SHIELDS,Rowing,1
"SOUTH ST. PAUL, MN",Ice Hockey,1
"SOUTHLAKE, TX",Sport Climbing,1
SOUTHPORT,Golf,1
"SOUTHPORT, QLD",Swimming,1
"SPARKS, NV",Basketball,1
SPLIT,Judo,1
SPLIT,Sailing,1
BRUNICO-BRUNECK,Biathlon,1
SPLIT,Taekwondo,1
SPLIT,Tennis,1
BRZESKO,Sailing,1
BRZOZ?W,Volleyball,1
"SPRINGFIELD, IL",Rugby Sevens,1
"SPRINGFIELD, IL",Swimming,1
"SPRINGFIELD, MO",Volleyball,1
ST ANDREW,Athletics,1
ST CATHERINE,Athletics,1
ST HUBERT,Handball,1
ST THOMAS,Sailing,1
"ST. ALBERT, AB",Curling,1
ST. ANDREWS,Athletics,1
BUCHAREST,Fencing,1
BUCHEON,Short Track Speed Skating,1
ST. GEORGE'S,Athletics,1
"ST. JOHN'S, NL",Curling,1
BUDAPEST,Sailing,1
"ST. LOUIS, MO",Football,1
BUEA,Boxing,1
BUENOS AIRES,Karate,1
ST. PETERSBURG,Volleyball,1
ST. POELTEN,Snowboard,1
STAINS,Football,1
STAMFORD,Cycling Track,1
STANS,Alpine Skiing,1
BUENOS AIRES,Sailing,1
STARNBERG,Beach Volleyball,1
STAVANGER,Curling,1
"BUFFALO, NY",Volleyball,1
"STE-AGATHE, QC",Freestyle Skiing,1
"STE. ANNE, MB",Ice Hockey,1
STEINBACH-HALLENBERG,Cross-Country Skiing,1
STEINHAUSEN,Beach Volleyball,1
STELLENBOSCH,Rugby Sevens,1
STEVNS,Handball,1
STOCKHOLM,Beach Volleyball,1
BUGULMA,Ice Hockey,1
STOCKHOLM,Football,1
STOCKHOLM,Freestyle Skiing,1
STOCKHOLM,Judo,1
BUGULMA,Swimming,1
STOKE-ON-TRENT,Canoe Slalom,1
STOMPETOREN,Water Polo,1
STONE,Canoe Slalom,1
BUKHARA,Boxing,1
STOREN,Alpine Skiing,1
"STOUGHTON, MA",Artistic Gymnastics,1
"STRAFFORD, PA",Rowing,1
BUKWO DISTRICT,Athletics,1
"BUNDABERG, QLD",Swimming,1
"BUNDOORA, VIC",Swimming,1
STRATFORD-UPON-AVON,Rowing,1
STROMBEEK-BEVER,Football,1
BURGAS,Rhythmic Gymnastics,1
SUBIACO,Cycling Track,1
"SUBIACO, WA",Boxing,1
"SUBIACO, WA",Rowing,1
"BURLINGTON, ON",Ice Hockey,1
"SUDBURY, ON",Ice Hockey,1
"SUGAR LAND, TX",Baseball/Softball,1
"BURLINGTON, VT",Alpine Skiing,1
"BURLINGTON, VT",Rugby Sevens,1
SUMQAYIT,Karate,1
SUNDERLAND,Boxing,1
SUNDERLAND,Rowing,1
SUNDSVALL,Alpine Skiing,1
SUNDSVALL,Football,1
"BURNABY, BC",Baseball/Softball,1
"SUNSHINE COAST, QLD",Swimming,1
SUONENJOKI,Ice Hockey,1
"BURNABY, BC",Football,1
SURESNES,Fencing,1
SURESNES,Football,1
SURKHANDARYA REGION,Judo,1
"SURREY, BC",Rowing,1
SUTTON COLDFIELD,Hockey,1
SUVA,Rugby Sevens,1
SUWALKI,Athletics,1
SUWON,Badminton,1
SUWON,Fencing,1
BURSA,Boxing,1
SUZANO,Football,1
SVEG,Curling,1
SVOBODNYY,Boxing,1
SWIEBODZICE,Athletics,1
SYDNEY,Artistic Swimming,1
SYDNEY,Sailing,1
"SYDNEY, NSW",Basketball,1
"SYDNEY, NSW",Diving,1
"SYDNEY, NSW",Equestrian,1
"SYDNEY, NSW",Hockey,1
"SYDNEY, NSW",Rugby Sevens,1
"SYDNEY, NSW",Sailing,1
BURSO,Canoe Sprint,1
BURTON,Hockey,1
BURTON-ON-TRENT,Boxing,1
"SYLVA, NC",Canoe Slalom,1
"SYOSSET, NY",Basketball,1
BUSAN,Swimming,1
SZCZECIN,Sailing,1
SZEGED,Canoe Sprint,1
BUSAN,Table Tennis,1
SZEKESFEHERVAR,Water Polo,1
SZOMBATHELY,Marathon Swimming,1
T'AI-TUNG,Weightlifting,1
TACLOBAN CITY,Boxing,1
TAIPEI,Artistic Gymnastics,1
"BUSSELTON, WA",Athletics,1
CABORCA,Football,1
TAIPEI,Karate,1
TAITUNG,Weightlifting,1
TAJIMI,Boxing,1
TAKAMATSU,Fencing,1
TAKAOKA,Judo,1
TAKAPUNA,Diving,1
TAKARAZUKA,Diving,1
TAKARAZUKA,Figure Skating,1
"TALLAHASSEE, FL",Cycling Track,1
TALLINN,Fencing,1
TALLINN,Freestyle Skiing,1
"TAMPA, FL",Fencing,1
"TAMPA, FL",Rugby Sevens,1
CAERPHILLY,Boxing,1
"TAMPA, FL",Tennis,1
CAETE,Football,1
"TAMWORTH, NSW",Basketball,1
TAOYUAN,Shooting,1
TAPOLCA,Fencing,1
TAPOLCA,Modern Pentathlon,1
TARANAKI,Rugby Sevens,1
TARAZ,Judo,1
TARBES,Fencing,1
TARGOVISHTE,Shooting,1
TARNOW,Fencing,1
TARNOW,Sport Climbing,1
TARTU,Fencing,1
TASHKENT,Fencing,1
TASHKENT,Taekwondo,1
TASHKENT,Weightlifting,1
CAGAYAN DE ORO,Boxing,1
TATARESTI,Wrestling,1
TAUNTON,Rowing,1
CAGLIARI,Sailing,1
"CAIRNS, QLD",Equestrian,1
TAURANGA,Rugby Sevens,1
TAURANGA,Sailing,1
"TAVARES, FL",Baseball/Softball,1
"CAIRNS, QLD",Freestyle Skiing,1
TBILISI,Wrestling,1
TE ANAU,Trampoline Gymnastics,1
TE AWAMUTU,Cycling Track,1
TEGUESTE,Football,1
TEHRAN,Judo,1
TEHRAN,Karate,1
TEHRAN,Wrestling,1
TEL AVIV,Judo,1
TELKI,Swimming,1
TENERIFE,Taekwondo,1
TERRACINA,Rowing,1
"CAIRNS, QLD",Skateboarding,1
CAIRO,Fencing,1
CAIRO,Modern Pentathlon,1
TETERINGEN,Hockey,1
THALWIL,Beach Volleyball,1
CALAIS,Basketball,1
"CALGARY, AB",Bobsleigh,1
THE HAGUE,Short Track Speed Skating,1
THE VALLEY,Athletics,1
"CALGARY, AB",Diving,1
"CALGARY, AB",Freestyle Skiing,1
THESSALONIKI,Water Polo,1
"CALGARY, AB",Rugby Sevens,1
THURO,Handball,1
"CALGARY, BC",Rowing,1
TIANJIN,Hockey,1
TIANJIN,Skeleton,1
TIARET,Athletics,1
TIARET,Boxing,1
TILBURG,Hockey,1
TIMARU,Athletics,1
TIMARU,Rugby Sevens,1
CALIFORNIA,Wrestling,1
TIRASPOL,Artistic Gymnastics,1
TIRGU CARBUNESTI,Rowing,1
CAMAGUEY,Athletics,1
TKIBULI,Judo,1
CAMAGUEY,Boxing,1
TOCHIGI,Wrestling,1
CAMBRIDGE,Rowing,1
TOIJALA,Ice Hockey,1
TOKOROA,Rugby Sevens,1
TOKOROZAWA,Surfing,1
CAMBRIDGE/MA,Ice Hockey,1
TOKYO,Badminton,1
"CAMPBELL RIVER, BC",Rowing,1
"CAMPERDOWN, VIC",Cycling Road,1
"CAMPINAS, SAO PAULO",Football,1
TOKYO,Golf,1
CAMPO GRANDE / MATO GROSSO DO SUL,Judo,1
CAMPOSAMPIERO,Fencing,1
TOKYO,Wrestling,1
CAMPULUNG,Rowing,1
TOLILET,Athletics,1
TOLMEZZO,Cycling Track,1
TOMAKOMAI,Table Tennis,1
TOMAR,Judo,1
"TOMS RIVER, NJ",Wrestling,1
TOMSK,Biathlon,1
TONALA,Weightlifting,1
TONISVORST,Football,1
TONSBERG,Rowing,1
"TOOWOOMBA, QLD",Athletics,1
"TOOWOOMBA, QLD",Equestrian,1
TOPOLCHANE,Weightlifting,1
"CANBERRA, ACT",Basketball,1
TORONTO ON,Beach Volleyball,1
"TORONTO, ON",Alpine Skiing,1
"CANBERRA, ACT",Rowing,1
CANDELARIA,Judo,1
"TORONTO, ON",Breaking,1
CANGAS,Canoe Sprint,1
"TORONTO, ON",Ice Hockey,1
"CANMORE, AB",Rugby Sevens,1
CANTERBURY,Hockey,1
"TORONTO, ON",Ski Jumping,1
CAPE TOWN,Canoe Sprint,1
"TORRANCE, CA",Beach Volleyball,1
"TORRANCE, CA",Shooting,1
CAPE TOWN,Swimming,1
TORRE ANNUNZIATA,Boxing,1
TORREON,Football,1
TORSBY,Biathlon,1
TOULON,Sailing,1
TOULOUSE,Boxing,1
TOULOUSE,Football,1
TOULOUSE,Rugby Sevens,1
CARACAS,Athletics,1
TOULOUSE,Table Tennis,1
CARACAS,Cycling BMX Freestyle,1
TOURNAN-EN-BRIE,Handball,1
"TOWNSVILLE, QLD",Water Polo,1
TOYAMA,Skateboarding,1
CARBONERAS,Handball,1
TOYOOKA,Baseball/Softball,1
CARDIFF,Sailing,1
TRADATE,Volleyball,1
"TRAIL, BC",Baseball/Softball,1
TRAKAI,Rowing,1
TRBOVLJE,Cycling Road,1
TREBINJE,Volleyball,1
TREMBLAY-EN-FRANCE,Football,1
TREMEVEN,Canoe Slalom,1
CARMARTHEN,Cycling Track,1
TRENTO,Curling,1
CARPI,Marathon Swimming,1
CARRARA,Tennis,1
TRIER,Rowing,1
TROISDORF,Judo,1
CASALMAGGIORE,Athletics,1
TROLLHATTAN,Table Tennis,1
TROMSO,Cross-Country Skiing,1
TROMSO,Handball,1
TRONDHEIM,Curling,1
CASTELLON,Tennis,1
CASTELNUOVO DI GARFAGNANA,Tennis,1
TRSTENIK,Shooting,1
TRURO,Rowing,1
TSURIB,Wrestling,1
"TUALATIN, OR",Artistic Gymnastics,1
"TUCSON, AZ",Baseball/Softball,1
"TULARE, CA",Boxing,1
CAVAILLON,Cycling BMX Racing,1
TUNIS,Fencing,1
TUNIS,Taekwondo,1
TURBO,Weightlifting,1
TURIN,Canoe Sprint,1
TURIN,Modern Pentathlon,1
CELJE,Judo,1
TURKU,Ice Hockey,1
TURON,Football,1
TUTUME,Athletics,1
TUUSNIEMI,Ice Hockey,1
CELJE,Snowboard,1
"TWEED HEADS, NSW",Marathon Swimming,1
TYCHY,Athletics,1
TYUMEN,Ice Hockey,1
UASIN GISHU,Athletics,1
UBAITABA,Canoe Sprint,1
CELLE,Football,1
UFA,Fencing,1
UFA,Handball,1
UFA,Short Track Speed Skating,1
UGHELLI,Athletics,1
CESIS,Handball,1
CHADAN,Wrestling,1
ULSAN,Archery,1
ULSAN,Fencing,1
ULSAN,Judo,1
ULSAN,Shooting,1
CHAMBERY,Swimming,1
CHAMPIGNY-SUR-MARNE,Athletics,1
UMEA,Beach Volleyball,1
CHANGCHUN CITY,Swimming,1
UNIAO,Football,1
UNNA,Bobsleigh,1
"UPLAND, CA",Baseball/Softball,1
UPPSALA,Curling,1
URGANCH,Wrestling,1
URRETXU,Handball,1
URUAPAN,Football,1
USHARAL,Wrestling,1
UST'-ORDYNSKIY,Archery,1
CHANGZHOU,Archery,1
UTSUNOMIYA CITY,Swimming,1
CHANGZHOU,Taekwondo,1
CHARLEROI,Taekwondo,1
VAASA,Cross-Country Skiing,1
"VAIL, CO",Freestyle Skiing,1
"VAIRAO, TAHITI",Surfing,1
"CHARLOTTE, NC",3x3 Basketball,1
VALENCIA,Football,1
"CHARLOTTE, NC",Shooting,1
VALENI,Rowing,1
"VALLEYFIELD, QC",Ice Hockey,1
"CHARLOTTESVILLE, VA",Swimming,1
"VANCOUVER, BC",Football,1
"VANCOUVER, BC",Rowing,1
VANNES,Equestrian,1
"CHARLOTTETOWN, PE",Curling,1
VARANASI,Hockey,1
VAREL,Golf,1
"CHARLOTTETOWN, PE",Rugby Sevens,1
VARKAUS,Boxing,1
VARNA,Rhythmic Gymnastics,1
CHARTRES,Handball,1
"CHATEAUGUAY, QC",Diving,1
VEENENDAAL,Football,1
VEGHEL,Hockey,1
VEGHEL,Sailing,1
VELDHOVEN,Hockey,1
"CHATEAUGUAY, QC",Football,1
"VENISE-EN-QUEBEC, QC",Speed Skating,1
VENTSPILS,3x3 Basketball,1
"VENTURA, CA",Basketball,1
VERACRUZ,Football,1
VERBANIA,Canoe Sprint,1
CHATHAM,Shooting,1
VERBANIA,Cycling Track,1
VERSAILLES,Handball,1
VESOUL,Triathlon,1
"CHATTANOOGA, TN",3x3 Basketball,1
CHECHNYA,Wrestling,1
VIBORG,Handball,1
VIC,Football,1
VICENTE L?PEZ,Hockey,1
VICENZA,Speed Skating,1
CHELM,Boxing,1
"VICTORIA, BC",Baseball/Softball,1
"VICTORIA, BC",Ice Hockey,1
CHELTENHAM,Rowing,1
"VICTORIA, BC",Rugby Sevens,1
CHELYABINSK,3x3 Basketball,1
VIENNA,Water Polo,1
VILA NOVA DE GAIA,Cycling Track,1
CHELYABINSK,Taekwondo,1
CHELYABINSK,Volleyball,1
VILLAHERMOSA,Football,1
VILLARREAL,Football,1
VILLEPINTE,Basketball,1
VILLEPINTE,Judo,1
CHEONGJU,Fencing,1
VILNIUS,Athletics,1
VILNIUS,Breaking,1
VILNIUS,Modern Pentathlon,1
VILVOORDE,Athletics,1
VIRIAT,Rugby Sevens,1
VITORIA-GASTEIZ,Football,1
VITSYEBSK,Athletics,1
VLAARDINGEN,Athletics,1
VLADIKAVKAZ,Tennis,1
VLADIMIR,Rhythmic Gymnastics,1
VLADIVOSTOK,Artistic Gymnastics,1
CHEORWON,Judo,1
VOLDUM,Handball,1
CHERBOURG,Equestrian,1
"VOORHEES, NJ",Tennis,1
CHERBOURG,Handball,1
VOTKINSK,Artistic Gymnastics,1
VOTORANTIM,Football,1
CHEREPOVETS,Ice Hockey,1
VRBAS,Volleyball,1
VUKOVAR,Rowing,1
"WAGGA WAGGA, NSW",Hockey,1
WAIKATO,Rowing,1
WAITABU,Rugby Sevens,1
WAKAYAMA,Fencing,1
WAKEFIELD,Cycling Track,1
WALBRZYCH,Volleyball,1
"WALNUT CREEK, CA",Basketball,1
WARENDORF,Equestrian,1
"WARRNAMBOOL, VIC",Basketball,1
WARSAW,Athletics,1
WARSAW,Rowing,1
WARSAW,Tennis,1
CHERKASY,Artistic Gymnastics,1
CHERKASY,Shooting,1
"WASHINGTON, DC",Rowing,1
CHERNIVTSI,Fencing,1
CHESTER,Diving,1
WASSERBURG AM INN,Biathlon,1
"WATTWIL, EBNAT-KAPPEL",Snowboard,1
WEHRHEIM,Marathon Swimming,1
WEIMAR,Canoe Slalom,1
WELLINGTON,Basketball,1
WELLINGTON,Canoe Sprint,1
CHIBA,Baseball/Softball,1
"CHICAGO, IL",Basketball,1
"WELLINGTON, NSW",Rowing,1
"CHICAGO, IL",Equestrian,1
"WENATCHEE, WA",3x3 Basketball,1
WENZHOU,Badminton,1
"CHICAGO, IL",Wrestling,1
WERNIGERODE,Skeleton,1
WESEL,Equestrian,1
WEST BROMWICH,Boxing,1
WESTMINSTER,Rowing,1
"CHILLIWACK, BC",Football,1
WETHERBY,Triathlon,1
CHISINAU,Judo,1
"WHEAT RIDGE, CO",Football,1
CHISINAU,Tennis,1
"WHITE ROCK, BC",Baseball/Softball,1
"WHITE ROCK, BC",Bobsleigh,1
"WHITE SALMON, WA",Snowboard,1
"WHYALLA, SA",Cycling Track,1
CHONBURI,Badminton,1
WIJK EN AALBURG,Cycling Road,1
WILHELMSHAVEN,Handball,1
"WILLEMSTAD, CURACAO",Sailing,1
"WILLIAMSVILLE, NY",Ice Hockey,1
"WILMINGTON, DE",Artistic Swimming,1
WILRIJK,Hockey,1
WILRIJK,Short Track Speed Skating,1
WINCHESTER,Sailing,1
WINDSOR,Shooting,1
"WINDSOR, CO",Football,1
CHONGJU,Boxing,1
CHORLEY,Swimming,1
"WINNIPEG, MB",Taekwondo,1
WINTERSWIJK,Water Polo,1
WINTERTHUR,Shooting,1
WITTEN,Bobsleigh,1
WITTEN,Football,1
WLOCLAWEK,Rowing,1
CHRISTCHURCH,Canoe Sprint,1
WOIPPY,Handball,1
"WOLLONGONG, NSW",Athletics,1
"WOLLONGONG, NSW",Hockey,1
CHUNCHEON,Judo,1
CHUSOVOY,Freestyle Skiing,1
WONOGIRI,Badminton,1
"WOODLAND, CA",Shooting,1
"WOODSIDE, CA",Ice Hockey,1
WORCESTER,Athletics,1
CHUSOVOY,Luge,1
CIECHOCIN,Rowing,1
WRIEZEN,Rowing,1
WUHAI,Athletics,1
WUHAN,Artistic Swimming,1
WUZHOU,Diving,1
CIENFUEGOS,Boxing,1
XIANGYANG,Swimming,1
CIMAHI,Badminton,1
XINJIANG,Archery,1
XINJIANG,Wrestling,1
XITIANWEI,Shooting,1
XUZHOU,Artistic Gymnastics,1
"CINCINATTI, OH",Volleyball,1
CIPO,Football,1
CITTADELLA,Volleyball,1
YACHIYO,Sport Climbing,1
CITTIGLIO,Rowing,1
YAMAGUCHI,Table Tennis,1
YANBIAN,Short Track Speed Skating,1
YANCHENG,Rhythmic Gymnastics,1
YANGYANG,Shooting,1
YANTAI,Athletics,1
YANTAI,Fencing,1
YANTAI,Shooting,1
CIVITANOVA MARCHE,Athletics,1
YAROSLAVL,Freestyle Skiing,1
YAROSLAVL,Ice Hockey,1
YAROSLAVL,Shooting,1
YEKATERINBURG,Rhythmic Gymnastics,1
YEKATERINBURG,Swimming,1
YELIZOVO,Cross-Country Skiing,1
YEOSU-SI,Short Track Speed Skating,1
CLAMART,Basketball,1
YEREVAN,Wrestling,1
"CLAYTON, VIC",Athletics,1
YICHANG,Swimming,1
YICHANG,Weightlifting,1
YICHUN,Speed Skating,1
YILAN,Artistic Gymnastics,1
YILAN,Table Tennis,1
YIYANG,Weightlifting,1
CLERMONT-FERRAND,Figure Skating,1
YOKOHAMA,Baseball/Softball,1
YOKOHAMA,Basketball,1
YOKOHAMA,Swimming,1
YONAGO,Boxing,1
YONGZHOU,Weightlifting,1
"YONKERS, NY",Snowboard,1
"YORBA LINDA, CA",Water Polo,1
YORK,Curling,1
YORK,Triathlon,1
CLES,Athletics,1
YOZGAT,Wrestling,1
YUEYANG,Wrestling,1
YUMBO,Weightlifting,1
YUNNAN,Canoe Sprint,1
YUNNAN,Diving,1
ZAANSTAD,Rowing,1
ZACATECAS,Football,1
ZAGREB,Artistic Gymnastics,1
ZAGREB,Athletics,1
ZAGREB,Ice Hockey,1
COLCHESTER,Athletics,1
ZAGREB,Tennis,1
COLCHESTER,Boxing,1
ZAMBOANGA,Boxing,1
ZAMBOANGA,Weightlifting,1
ZAMORA,Football,1
ZAOZHUANG,Rowing,1
ZAPOPAN,Diving,1
AALESUND,Alpine Skiing,1
ZILINA,Ice Hockey,1
ZOETERMEER,Cycling Track,1
ZOETERMEER,Short Track Speed Skating,1
ZRENJANIN,Basketball,1
ZRENJANIN,Volleyball,1
ZSCHOPAU,Athletics,1
ZSCHOPAU,Bobsleigh,1
ZSCHOPAU,Skeleton,1
ZUMAYA,Handball,1
ZURICH,Beach Volleyball,1
ZURICH,Tennis,1
ZURICH,Triathlon,1
COLOGNE,Football,1
ZWOLLE,Cycling BMX Racing,1
"ABBEVILLE, MS",Athletics,1
COMPIEGNE,Shooting,1
ADDIS ABABA,Athletics,1
"ADDISON, IL",Figure Skating,1
CONSELHEIRO LAFAIETE,Volleyball,1
"ADELAIDE, SA",Basketball,1
"ADELAIDE, SA",Cycling Road,1
"CONWAY, AR",Shooting,1
AGEN,Basketball,1
AGUASCALIENTES,Football,1
AHOME,Football,1
AILINGEN,Football,1
AISAI,Baseball/Softball,1
"CONYERS, GA",Baseball/Softball,1
AIX EN PROVENCE,Swimming,1
"AJAX, ON",Football,1
ABIDJAN,Taekwondo,1
